start_city,start_lat,start_lng,end_city,end_lat,end_lng,trip_start_time,trip_end_time,trip_duration_minutes,traffic_wait_minutes,traffic_level,passenger_count,day_of_week
Gjilan,42.4666,21.4666,Peja,42.65,20.3,2025-04-16 17:07,2025-04-16 18:53,106,53,Light,18,Wednesday
Prizren,42.2139,20.7417,Peja,42.65,20.3,2024-01-17 07:56,2024-01-17 09:36,100,58,High,23,Monday
Pristina,42.6629,21.1655,Mitrovica,42.8906,20.8664,2025-05-19 14:18,2025-05-19 16:29,131,59,Medium,17,Friday
Peja,42.65,20.3,Ferizaj,42.3706,21.155,2024-02-09 17:01,2024-02-09 18:49,108,14,High,18,Monday
Ferizaj,42.3706,21.155,Mitrovica,42.8906,20.8664,2024-05-05 19:42,2024-05-05 20:54,72,20,Medium,17,Friday
Ferizaj,42.3706,21.155,Mitrovica,42.8906,20.8664,2024-09-19 20:24,2024-09-19 22:31,127,47,Light,11,Monday
Pristina,42.6629,21.1655,Mitrovica,42.8906,20.8664,2025-04-25 09:35,2025-04-25 12:23,168,27,High,10,Saturday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2025-04-16 19:59,2025-04-16 22:45,166,9,Light,9,Tuesday
Peja,42.65,20.3,Mitrovica,42.8906,20.8664,2025-12-11 08:27,2025-12-11 09:58,91,25,Light,5,Saturday
Gjilan,42.4666,21.4666,Prizren,42.2139,20.7417,2025-02-16 05:57,2025-02-16 08:25,148,20,Light,7,Tuesday
Gjilan,42.4666,21.4666,Gjakova,42.3803,20.43,2025-08-03 09:15,2025-08-03 10:08,53,15,Medium,30,Tuesday
Pristina,42.6629,21.1655,Gjilan,42.4666,21.4666,2025-09-04 11:45,2025-09-04 13:19,94,50,Light,9,Thursday
Mitrovica,42.8906,20.8664,Ferizaj,42.3706,21.155,2025-11-20 16:04,2025-11-20 17:59,115,52,Medium,12,Wednesday
Prizren,42.2139,20.7417,Ferizaj,42.3706,21.155,2025-12-14 10:38,2025-12-14 12:04,86,52,Medium,27,Wednesday
Ferizaj,42.3706,21.155,Prizren,42.2139,20.7417,2024-08-29 13:23,2024-08-29 15:14,111,0,Light,22,Sunday
Ferizaj,42.3706,21.155,Gjakova,42.3803,20.43,2024-08-10 18:51,2024-08-10 21:05,134,18,High,18,Saturday
Pristina,42.6629,21.1655,Mitrovica,42.8906,20.8664,2024-04-23 14:45,2024-04-23 15:53,68,4,Light,11,Tuesday
Prizren,42.2139,20.7417,Ferizaj,42.3706,21.155,2024-09-05 10:07,2024-09-05 10:42,35,7,Light,23,Friday
Peja,42.65,20.3,Mitrovica,42.8906,20.8664,2024-09-02 18:31,2024-09-02 19:06,35,27,Medium,21,Tuesday
Gjakova,42.3803,20.43,Pristina,42.6629,21.1655,2024-12-13 19:47,2024-12-13 20:33,46,54,Light,12,Thursday
Gjilan,42.4666,21.4666,Gjakova,42.3803,20.43,2025-07-10 12:02,2025-07-10 13:33,91,4,Light,20,Monday
Ferizaj,42.3706,21.155,Peja,42.65,20.3,2025-05-28 19:46,2025-05-28 21:07,81,51,High,25,Tuesday
Ferizaj,42.3706,21.155,Gjilan,42.4666,21.4666,2024-05-15 15:17,2024-05-15 16:42,85,1,High,18,Wednesday
Ferizaj,42.3706,21.155,Mitrovica,42.8906,20.8664,2025-04-15 11:27,2025-04-15 13:40,133,30,Medium,14,Monday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2025-05-04 14:41,2025-05-04 15:13,32,54,Light,28,Thursday
Gjilan,42.4666,21.4666,Peja,42.65,20.3,2025-12-01 08:46,2025-12-01 09:55,69,60,High,20,Saturday
Prizren,42.2139,20.7417,Mitrovica,42.8906,20.8664,2025-05-23 17:37,2025-05-23 20:24,167,53,High,25,Tuesday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2024-08-15 17:17,2024-08-15 20:05,168,10,Light,26,Saturday
Gjakova,42.3803,20.43,Pristina,42.6629,21.1655,2024-03-11 12:51,2024-03-11 13:27,36,40,Light,24,Sunday
Gjilan,42.4666,21.4666,Mitrovica,42.8906,20.8664,2025-06-01 07:55,2025-06-01 09:28,93,10,Medium,16,Monday
Gjilan,42.4666,21.4666,Prizren,42.2139,20.7417,2024-02-13 15:05,2024-02-13 16:15,70,23,High,29,Monday
Peja,42.65,20.3,Gjilan,42.4666,21.4666,2024-11-21 10:24,2024-11-21 12:12,108,14,Light,22,Friday
Ferizaj,42.3706,21.155,Pristina,42.6629,21.1655,2024-05-13 16:06,2024-05-13 17:06,60,59,High,25,Tuesday
Prizren,42.2139,20.7417,Gjilan,42.4666,21.4666,2024-09-02 14:32,2024-09-02 17:01,149,28,Light,28,Wednesday
Pristina,42.6629,21.1655,Mitrovica,42.8906,20.8664,2024-01-28 05:48,2024-01-28 08:04,136,43,Medium,24,Monday
Gjakova,42.3803,20.43,Peja,42.65,20.3,2025-04-15 08:46,2025-04-15 09:03,17,40,Light,15,Friday
Pristina,42.6629,21.1655,Peja,42.65,20.3,2024-04-11 14:03,2024-04-11 14:53,50,29,High,5,Sunday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2024-09-16 09:31,2024-09-16 10:15,44,5,Medium,18,Sunday
Prizren,42.2139,20.7417,Mitrovica,42.8906,20.8664,2025-12-09 19:22,2025-12-09 19:49,27,33,Medium,15,Tuesday
Mitrovica,42.8906,20.8664,Ferizaj,42.3706,21.155,2024-08-08 11:45,2024-08-08 13:23,98,1,Medium,11,Sunday
Mitrovica,42.8906,20.8664,Gjakova,42.3803,20.43,2025-02-05 15:21,2025-02-05 17:30,129,24,High,9,Friday
Gjakova,42.3803,20.43,Ferizaj,42.3706,21.155,2024-01-02 18:03,2024-01-02 19:27,84,26,Light,18,Sunday
Prizren,42.2139,20.7417,Gjakova,42.3803,20.43,2024-07-13 16:26,2024-07-13 19:05,159,13,Light,25,Thursday
Gjilan,42.4666,21.4666,Mitrovica,42.8906,20.8664,2025-12-11 11:57,2025-12-11 13:39,102,14,Light,17,Thursday
Peja,42.65,20.3,Gjilan,42.4666,21.4666,2025-12-05 09:22,2025-12-05 11:13,111,17,Light,17,Monday
Peja,42.65,20.3,Gjilan,42.4666,21.4666,2024-05-19 20:06,2024-05-19 22:34,148,15,Light,20,Friday
Mitrovica,42.8906,20.8664,Gjilan,42.4666,21.4666,2025-11-20 10:24,2025-11-20 11:52,88,26,Medium,25,Friday
Gjakova,42.3803,20.43,Gjilan,42.4666,21.4666,2025-06-05 15:06,2025-06-05 16:53,107,24,Light,29,Friday
Prizren,42.2139,20.7417,Pristina,42.6629,21.1655,2025-08-17 05:05,2025-08-17 06:13,68,4,Medium,19,Tuesday
Mitrovica,42.8906,20.8664,Ferizaj,42.3706,21.155,2024-06-13 17:14,2024-06-13 18:39,85,3,High,25,Friday
Prizren,42.2139,20.7417,Mitrovica,42.8906,20.8664,2024-06-10 05:13,2024-06-10 06:51,98,60,Medium,23,Tuesday
Gjilan,42.4666,21.4666,Ferizaj,42.3706,21.155,2024-09-21 11:11,2024-09-21 12:23,72,21,Medium,23,Saturday
Pristina,42.6629,21.1655,Gjakova,42.3803,20.43,2024-07-13 09:48,2024-07-13 10:31,43,38,Light,24,Thursday
Gjilan,42.4666,21.4666,Prizren,42.2139,20.7417,2025-07-16 11:58,2025-07-16 14:21,143,26,Light,6,Monday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2024-12-11 11:39,2024-12-11 12:51,72,47,High,20,Thursday
Gjilan,42.4666,21.4666,Ferizaj,42.3706,21.155,2025-06-21 06:22,2025-06-21 08:13,111,45,High,21,Tuesday
Peja,42.65,20.3,Ferizaj,42.3706,21.155,2025-08-28 05:54,2025-08-28 07:03,69,19,Light,25,Thursday
Mitrovica,42.8906,20.8664,Gjakova,42.3803,20.43,2024-11-08 18:16,2024-11-08 20:32,136,51,Medium,26,Thursday
Peja,42.65,20.3,Gjilan,42.4666,21.4666,2024-03-31 14:09,2024-03-31 15:59,110,7,Light,20,Sunday
Gjilan,42.4666,21.4666,Gjakova,42.3803,20.43,2024-04-06 12:17,2024-04-06 12:49,32,0,Medium,16,Tuesday
Gjakova,42.3803,20.43,Peja,42.65,20.3,2025-08-14 08:59,2025-08-14 10:38,99,9,High,11,Friday
Prizren,42.2139,20.7417,Peja,42.65,20.3,2025-05-21 12:13,2025-05-21 14:45,152,36,High,30,Friday
Pristina,42.6629,21.1655,Mitrovica,42.8906,20.8664,2025-03-14 18:54,2025-03-14 19:28,34,10,Medium,6,Monday
Prizren,42.2139,20.7417,Ferizaj,42.3706,21.155,2025-10-13 15:42,2025-10-13 18:38,176,1,High,9,Sunday
Peja,42.65,20.3,Prizren,42.2139,20.7417,2025-06-10 06:05,2025-06-10 08:11,126,52,Light,21,Monday
Pristina,42.6629,21.1655,Peja,42.65,20.3,2024-06-21 13:50,2024-06-21 16:24,154,54,Light,16,Thursday
Ferizaj,42.3706,21.155,Mitrovica,42.8906,20.8664,2024-06-26 08:13,2024-06-26 09:59,106,60,Medium,30,Thursday
Gjilan,42.4666,21.4666,Pristina,42.6629,21.1655,2025-11-11 10:32,2025-11-11 12:04,92,50,High,30,Thursday
Peja,42.65,20.3,Mitrovica,42.8906,20.8664,2025-11-07 14:35,2025-11-07 17:06,151,13,High,8,Tuesday
Pristina,42.6629,21.1655,Gjakova,42.3803,20.43,2024-12-18 13:51,2024-12-18 16:15,144,30,Medium,27,Thursday
Mitrovica,42.8906,20.8664,Pristina,42.6629,21.1655,2025-06-02 06:35,2025-06-02 08:57,142,44,High,21,Friday
Gjakova,42.3803,20.43,Peja,42.65,20.3,2024-06-25 14:49,2024-06-25 17:25,156,48,Medium,14,Sunday
Gjakova,42.3803,20.43,Gjilan,42.4666,21.4666,2024-09-09 20:34,2024-09-09 21:50,76,21,Light,16,Sunday
Prizren,42.2139,20.7417,Pristina,42.6629,21.1655,2025-03-14 10:14,2025-03-14 11:26,72,60,Light,13,Monday
Gjakova,42.3803,20.43,Peja,42.65,20.3,2024-04-06 16:03,2024-04-06 18:37,154,33,Light,23,Saturday
Ferizaj,42.3706,21.155,Gjilan,42.4666,21.4666,2024-03-12 14:38,2024-03-12 15:00,22,49,Light,8,Thursday
Pristina,42.6629,21.1655,Ferizaj,42.3706,21.155,2024-03-03 12:15,2024-03-03 13:37,82,6,Light,29,Monday
Gjilan,42.4666,21.4666,Gjakova,42.3803,20.43,2025-07-04 16:58,2025-07-04 17:14,16,8,Light,24,Tuesday
Pristina,42.6629,21.1655,Gjilan,42.4666,21.4666,2024-02-09 12:19,2024-02-09 14:15,116,46,High,11,Wednesday
Ferizaj,42.3706,21.155,Gjilan,42.4666,21.4666,2024-08-16 11:02,2024-08-16 13:30,148,13,Light,30,Friday
Pristina,42.6629,21.1655,Gjilan,42.4666,21.4666,2024-04-08 16:11,2024-04-08 16:54,43,0,Medium,7,Sunday
Gjakova,42.3803,20.43,Pristina,42.6629,21.1655,2025-07-27 17:56,2025-07-27 19:34,98,40,Medium,17,Sunday
Mitrovica,42.8906,20.8664,Pristina,42.6629,21.1655,2024-12-09 12:29,2024-12-09 14:11,102,39,Light,29,Friday
Pristina,42.6629,21.1655,Peja,42.65,20.3,2024-02-23 08:36,2024-02-23 09:55,79,18,Light,19,Sunday
Prizren,42.2139,20.7417,Ferizaj,42.3706,21.155,2025-07-01 05:34,2025-07-01 08:21,167,2,High,21,Monday
Ferizaj,42.3706,21.155,Prizren,42.2139,20.7417,2025-02-28 05:29,2025-02-28 06:00,31,56,Light,5,Wednesday
Ferizaj,42.3706,21.155,Mitrovica,42.8906,20.8664,2024-02-11 09:04,2024-02-11 09:47,43,49,High,15,Monday
Gjilan,42.4666,21.4666,Ferizaj,42.3706,21.155,2024-02-28 18:35,2024-02-28 20:38,123,27,Medium,21,Sunday
Prizren,42.2139,20.7417,Pristina,42.6629,21.1655,2025-01-03 13:30,2025-01-03 15:13,103,1,Light,8,Monday
Gjilan,42.4666,21.4666,Pristina,42.6629,21.1655,2025-11-11 13:08,2025-11-11 14:57,109,45,High,21,Saturday
Pristina,42.6629,21.1655,Gjilan,42.4666,21.4666,2024-12-02 18:11,2024-12-02 21:09,178,37,Light,16,Friday
Ferizaj,42.3706,21.155,Mitrovica,42.8906,20.8664,2025-01-23 14:27,2025-01-23 16:52,145,13,High,28,Tuesday
Peja,42.65,20.3,Ferizaj,42.3706,21.155,2025-11-05 13:55,2025-11-05 14:31,36,44,High,20,Saturday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2025-01-12 06:29,2025-01-12 08:21,112,30,High,16,Thursday
Pristina,42.6629,21.1655,Gjakova,42.3803,20.43,2025-03-03 11:14,2025-03-03 11:46,32,43,Medium,5,Thursday
Ferizaj,42.3706,21.155,Mitrovica,42.8906,20.8664,2025-07-02 08:34,2025-07-02 10:11,97,43,High,9,Thursday
Gjakova,42.3803,20.43,Pristina,42.6629,21.1655,2024-05-17 14:45,2024-05-17 16:28,103,6,Light,21,Saturday
Gjilan,42.4666,21.4666,Peja,42.65,20.3,2025-01-12 17:58,2025-01-12 19:04,66,49,High,26,Tuesday
Mitrovica,42.8906,20.8664,Peja,42.65,20.3,2024-11-02 17:03,2024-11-02 18:00,57,27,Light,5,Friday
Peja,42.65,20.3,Gjakova,42.3803,20.43,2024-06-28 20:36,2024-06-28 22:25,109,31,Light,22,Monday
Peja,42.65,20.3,Prizren,42.2139,20.7417,2025-02-14 13:04,2025-02-14 13:29,25,28,Medium,23,Monday
Ferizaj,42.3706,21.155,Peja,42.65,20.3,2025-09-13 09:31,2025-09-13 10:38,67,42,Medium,12,Monday
Prizren,42.2139,20.7417,Peja,42.65,20.3,2025-03-19 13:14,2025-03-19 15:51,157,44,Light,19,Wednesday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2024-09-02 12:14,2024-09-02 15:08,174,36,Medium,26,Tuesday
Prizren,42.2139,20.7417,Mitrovica,42.8906,20.8664,2024-01-13 08:40,2024-01-13 10:17,97,32,High,25,Sunday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2024-09-04 11:57,2024-09-04 14:32,155,55,High,21,Saturday
Gjakova,42.3803,20.43,Mitrovica,42.8906,20.8664,2025-09-30 18:32,2025-09-30 20:02,90,59,Light,30,Monday
Mitrovica,42.8906,20.8664,Ferizaj,42.3706,21.155,2024-06-18 16:18,2024-06-18 16:43,25,30,Medium,21,Monday
Mitrovica,42.8906,20.8664,Peja,42.65,20.3,2024-08-11 19:03,2024-08-11 21:41,158,28,Light,5,Tuesday
Gjilan,42.4666,21.4666,Ferizaj,42.3706,21.155,2025-09-16 16:44,2025-09-16 18:35,111,40,High,12,Friday
Pristina,42.6629,21.1655,Peja,42.65,20.3,2024-09-07 10:19,2024-09-07 11:38,79,36,Light,29,Monday
Peja,42.65,20.3,Ferizaj,42.3706,21.155,2024-05-26 13:45,2024-05-26 14:43,58,23,Light,30,Wednesday
Ferizaj,42.3706,21.155,Mitrovica,42.8906,20.8664,2025-02-12 08:59,2025-02-12 10:38,99,18,High,14,Sunday
Pristina,42.6629,21.1655,Gjilan,42.4666,21.4666,2024-04-16 07:56,2024-04-16 08:59,63,5,High,14,Monday
Peja,42.65,20.3,Pristina,42.6629,21.1655,2025-05-21 06:23,2025-05-21 08:32,129,4,High,20,Friday
Pristina,42.6629,21.1655,Mitrovica,42.8906,20.8664,2025-01-08 09:23,2025-01-08 12:21,178,36,Light,6,Friday
Gjakova,42.3803,20.43,Pristina,42.6629,21.1655,2024-07-27 06:36,2024-07-27 09:33,177,28,Light,22,Sunday
Gjilan,42.4666,21.4666,Ferizaj,42.3706,21.155,2025-09-12 10:27,2025-09-12 10:44,17,20,Medium,8,Saturday
Gjakova,42.3803,20.43,Mitrovica,42.8906,20.8664,2025-05-13 06:33,2025-05-13 07:45,72,1,Light,17,Saturday
Prizren,42.2139,20.7417,Gjakova,42.3803,20.43,2024-01-30 20:46,2024-01-30 23:18,152,33,High,22,Tuesday
Gjakova,42.3803,20.43,Prizren,42.2139,20.7417,2025-11-15 05:51,2025-11-15 07:39,108,39,Light,23,Monday
Ferizaj,42.3706,21.155,Gjilan,42.4666,21.4666,2024-04-14 20:12,2024-04-14 22:05,113,42,Light,15,Thursday
Prizren,42.2139,20.7417,Pristina,42.6629,21.1655,2025-11-21 09:37,2025-11-21 11:43,126,21,Light,7,Saturday
Peja,42.65,20.3,Gjakova,42.3803,20.43,2025-02-15 16:55,2025-02-15 18:52,117,3,Medium,27,Saturday
Gjakova,42.3803,20.43,Prizren,42.2139,20.7417,2025-03-20 15:59,2025-03-20 16:25,26,51,Medium,21,Monday
Ferizaj,42.3706,21.155,Mitrovica,42.8906,20.8664,2025-11-13 05:30,2025-11-13 06:53,83,34,Medium,30,Monday
Pristina,42.6629,21.1655,Gjilan,42.4666,21.4666,2025-08-27 16:22,2025-08-27 19:20,178,46,High,24,Thursday
Gjilan,42.4666,21.4666,Mitrovica,42.8906,20.8664,2024-03-07 16:24,2024-03-07 18:51,147,31,High,28,Saturday
Ferizaj,42.3706,21.155,Prizren,42.2139,20.7417,2024-07-15 13:51,2024-07-15 16:27,156,29,Medium,16,Thursday
Prizren,42.2139,20.7417,Gjakova,42.3803,20.43,2025-04-16 10:32,2025-04-16 12:07,95,40,High,19,Friday
Gjilan,42.4666,21.4666,Peja,42.65,20.3,2025-02-26 09:35,2025-02-26 10:40,65,43,Medium,5,Wednesday
Mitrovica,42.8906,20.8664,Gjilan,42.4666,21.4666,2024-09-28 18:00,2024-09-28 18:21,21,19,Medium,26,Tuesday
Mitrovica,42.8906,20.8664,Gjakova,42.3803,20.43,2024-05-13 06:17,2024-05-13 08:38,141,37,Medium,27,Monday
Mitrovica,42.8906,20.8664,Gjakova,42.3803,20.43,2024-11-18 05:39,2024-11-18 06:17,38,5,High,9,Wednesday
Peja,42.65,20.3,Pristina,42.6629,21.1655,2025-04-26 14:25,2025-04-26 16:47,142,4,Light,11,Tuesday
Gjakova,42.3803,20.43,Ferizaj,42.3706,21.155,2024-02-28 13:49,2024-02-28 14:25,36,19,High,9,Saturday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2025-10-11 14:49,2025-10-11 15:53,64,53,Light,14,Monday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2024-04-05 15:31,2024-04-05 16:36,65,19,Medium,8,Tuesday
Gjilan,42.4666,21.4666,Prizren,42.2139,20.7417,2024-10-12 07:30,2024-10-12 07:47,17,3,Light,25,Saturday
Mitrovica,42.8906,20.8664,Ferizaj,42.3706,21.155,2024-10-31 17:37,2024-10-31 18:39,62,9,High,15,Wednesday
Gjilan,42.4666,21.4666,Prizren,42.2139,20.7417,2025-02-09 10:56,2025-02-09 11:50,54,56,High,27,Tuesday
Prizren,42.2139,20.7417,Ferizaj,42.3706,21.155,2025-12-03 07:45,2025-12-03 08:51,66,33,Light,8,Friday
Ferizaj,42.3706,21.155,Pristina,42.6629,21.1655,2025-05-14 07:02,2025-05-14 07:54,52,25,Medium,28,Friday
Peja,42.65,20.3,Mitrovica,42.8906,20.8664,2025-02-28 20:33,2025-02-28 21:35,62,25,Light,20,Saturday
Prizren,42.2139,20.7417,Ferizaj,42.3706,21.155,2025-01-21 10:48,2025-01-21 12:22,94,48,Light,29,Friday
Mitrovica,42.8906,20.8664,Gjilan,42.4666,21.4666,2025-06-03 09:57,2025-06-03 10:28,31,46,High,7,Tuesday
Prizren,42.2139,20.7417,Pristina,42.6629,21.1655,2024-08-21 19:28,2024-08-21 22:02,154,11,High,11,Sunday
Gjilan,42.4666,21.4666,Peja,42.65,20.3,2025-09-19 19:32,2025-09-19 20:16,44,44,High,10,Monday
Pristina,42.6629,21.1655,Mitrovica,42.8906,20.8664,2024-01-08 11:32,2024-01-08 12:09,37,2,High,27,Monday
Pristina,42.6629,21.1655,Gjilan,42.4666,21.4666,2025-01-04 06:39,2025-01-04 08:01,82,1,Medium,11,Tuesday
Mitrovica,42.8906,20.8664,Gjilan,42.4666,21.4666,2024-07-30 20:30,2024-07-30 23:19,169,11,Light,10,Thursday
Gjakova,42.3803,20.43,Gjilan,42.4666,21.4666,2025-08-06 10:03,2025-08-06 12:44,161,0,High,8,Friday
Gjilan,42.4666,21.4666,Prizren,42.2139,20.7417,2025-02-25 17:41,2025-02-25 18:02,21,26,High,6,Monday
Prizren,42.2139,20.7417,Pristina,42.6629,21.1655,2025-10-01 20:48,2025-10-01 22:01,73,43,High,7,Thursday
Prizren,42.2139,20.7417,Gjilan,42.4666,21.4666,2025-03-22 13:07,2025-03-22 13:24,17,17,High,24,Sunday
Peja,42.65,20.3,Pristina,42.6629,21.1655,2024-06-09 20:54,2024-06-09 23:02,128,5,Medium,15,Thursday
Prizren,42.2139,20.7417,Pristina,42.6629,21.1655,2025-12-10 09:29,2025-12-10 12:24,175,34,Medium,17,Thursday
Peja,42.65,20.3,Pristina,42.6629,21.1655,2025-11-29 08:12,2025-11-29 11:03,171,31,High,13,Saturday
Ferizaj,42.3706,21.155,Mitrovica,42.8906,20.8664,2024-03-16 10:54,2024-03-16 12:25,91,39,High,23,Wednesday
Gjakova,42.3803,20.43,Prizren,42.2139,20.7417,2024-07-27 20:58,2024-07-27 21:26,28,36,High,23,Thursday
Mitrovica,42.8906,20.8664,Ferizaj,42.3706,21.155,2025-08-09 08:33,2025-08-09 09:45,72,14,Medium,7,Thursday
Mitrovica,42.8906,20.8664,Prizren,42.2139,20.7417,2025-09-23 15:21,2025-09-23 17:57,156,56,Medium,27,Thursday
Pristina,42.6629,21.1655,Peja,42.65,20.3,2025-09-25 08:44,2025-09-25 10:02,78,10,High,17,Sunday
Mitrovica,42.8906,20.8664,Gjakova,42.3803,20.43,2025-11-20 10:28,2025-11-20 11:30,62,46,Light,11,Friday
Pristina,42.6629,21.1655,Mitrovica,42.8906,20.8664,2024-02-25 10:37,2024-02-25 12:00,83,55,Light,12,Wednesday
Prizren,42.2139,20.7417,Mitrovica,42.8906,20.8664,2024-12-07 14:37,2024-12-07 15:38,61,38,High,20,Friday
Pristina,42.6629,21.1655,Ferizaj,42.3706,21.155,2024-08-30 11:57,2024-08-30 12:41,44,21,High,22,Tuesday
Prizren,42.2139,20.7417,Ferizaj,42.3706,21.155,2024-03-22 15:51,2024-03-22 16:07,16,4,High,28,Tuesday
Pristina,42.6629,21.1655,Gjilan,42.4666,21.4666,2025-10-21 20:19,2025-10-21 22:01,102,11,Light,6,Wednesday
Ferizaj,42.3706,21.155,Pristina,42.6629,21.1655,2025-02-12 15:06,2025-02-12 17:45,159,8,Light,19,Wednesday
